127.0.0.1 - - [17/Mar/2026:23:14:51 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [17/Mar/2026:23:16:30 +0900] "GET /ch01-pjt01/index.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [17/Mar/2026:23:16:30 +0900] "GET /ch01-pjt01/index.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [17/Mar/2026:23:16:30 +0900] "GET /ch01-pjt01/index.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [17/Mar/2026:23:16:30 +0900] "GET /ch01-pjt01/index.jsp HTTP/1.1" 200 801
0:0:0:0:0:0:0:1 - - [17/Mar/2026:23:16:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [17/Mar/2026:23:16:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [17/Mar/2026:23:16:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [17/Mar/2026:23:16:30 +0900] "GET /favicon.ico HTTP/1.1" 404 819
